sender_code,sender_point_id,recipient_point_id,MIN,MAX
2552,781409,874001,110.0,110.0
36612,922205,302507,8.0,8.0
39684,220203,625107,6.0,6.0
144,36002,592204,3.0,3.0
144,193307,592204,193.0,193.0
36612,35601,302600,6.0,6.0
19392,954704,974407,0.0,276.0
2552,592401,782308,3.0,3.0
216,302507,288009,25.0,25.0
5556,657705,666906,6.0,6.0
26192,864207,865002,276.0,276.0
8804,538708,183502,11.0,11.0
31820,932902,984700,171.0,171.0
156,243607,237908,0.0,8.0
216,305100,302507,6.0,6.0
36612,248105,302600,3.0,3.0
36612,840109,625200,33.0,33.0
144,630302,592204,44.0,44.0
1168,435906,594206,88.0,88.0
144,435501,592204,276.0,276.0
2552,592401,780800,3.0,3.0
26192,773008,770005,55.0,55.0
144,592505,592204,3.0,3.0
8804,200002,183502,6.0,6.0
2552,781409,258107,6.0,6.0
26192,806201,770005,28.0,28.0
2552,655009,782308,55.0,55.0
156,230205,243607,36.0,36.0
8804,190807,183502,22.0,22.0
144,35207,592204,8.0,8.0
26084,722400,302507,8.0,8.0
8840,211903,871304,0.0,413.0
5556,60904,618300,14.0,14.0
216,860009,302507,6.0,6.0
216,761405,302507,36.0,36.0
36612,633001,302600,19.0,19.0
144,592204,100105,17.0,17.0
31820,887603,852708,83.0,88.0
1124,18502,887707,196.0,413.0
36612,740004,625200,8.0,8.0
5400,970406,871802,0.0,110.0
7348,864103,841402,36.0,36.0
26192,864207,863007,1240.0,1240.0
216,625605,302507,14.0,14.0
36612,251606,625200,8.0,8.0
5556,195001,666906,3.0,3.0
36612,828501,302507,3.0,3.0
5556,195001,666906,8.0,8.0
6112,865002,302507,0.0,14.0
2552,716607,782308,39.0,39.0
216,290206,31600,8.0,8.0
39684,523505,190008,0.0,276.0
26192,885100,864207,14.0,14.0
26192,47505,864207,6.0,6.0
31820,290507,585003,39.0,39.0
36612,954403,302507,3.0,3.0
1168,181808,594206,165.0,165.0
8804,183502,183907,55.0,55.0
26192,533102,770005,28.0,28.0
8804,183502,640906,8.0,8.0
5172,438603,887904,0.0,55.0
2552,874302,782308,22.0,22.0
216,302507,862907,1025.0,1025.0
26192,864207,864902,276.0,276.0
20484,985702,864809,0.0,413.0
8804,183502,238508,72.0,72.0
39988,930004,982300,427.0,427.0
216,193307,289406,179.0,179.0
216,302507,596205,8.0,28.0
7348,841402,863907,187.0,187.0
26192,770005,871304,160.0,160.0
39684,780800,625107,6.0,17.0
39684,690200,625107,28.0,28.0
26192,684001,864207,229.0,229.0
7348,648908,841402,47.0,47.0
39684,625107,230900,6.0,6.0
8804,264907,183502,17.0,17.0
144,592204,179102,6.0,6.0
156,258107,243607,8.0,8.0
26192,932601,860009,6.0,6.0
2552,180203,780800,8.0,8.0
36612,225300,302600,19.0,19.0
2552,781409,833603,6.0,6.0
36612,651008,302600,36.0,36.0
2552,781409,267708,3.0,3.0
120,864601,864902,83.0,551.0
36612,843200,625200,14.0,14.0
19392,960103,974407,0.0,69.0
36612,602406,625200,14.0,14.0
39684,625107,775304,17.0,17.0
5556,529605,618300,3.0,3.0
31820,932902,761602,220.0,220.0
216,176405,302507,6.0,6.0
8804,543509,183502,19.0,19.0
26192,723009,770005,28.0,28.0
144,611000,592204,80.0,80.0
36612,814903,302507,6.0,6.0
216,302507,310109,8.0,8.0
144,592204,208108,14.0,14.0
36612,843200,302600,28.0,28.0
36612,937003,302507,11.0,11.0
12604,814208,438406,0.0,63.0
144,814208,592204,193.0,193.0
8804,183502,225300,47.0,47.0
216,723403,302507,17.0,17.0
11392,930108,235209,0.0,14.0
144,310700,592204,3.0,3.0
2552,781409,250603,105.0,105.0
216,302507,290206,28.0,28.0
144,190807,592204,74.0,74.0
39684,523505,525407,0.0,14.0
39684,560006,523505,14.0,69.0
19392,954704,962109,0.0,41.0
36612,247206,625200,8.0,8.0
39684,625107,644004,6.0,6.0
216,215807,302507,6.0,6.0
8804,811905,183502,8.0,8.0
2552,781409,654307,6.0,6.0
26192,984700,862305,165.0,165.0
5556,197401,618300,6.0,6.0
36612,594801,302600,63.0,63.0
8804,183502,633103,8.0,8.0
456,931505,27802,14.0,28.0
36612,525002,302507,69.0,69.0
26192,986103,864902,3307.0,3307.0
216,522201,302507,33.0,33.0
2552,781409,792901,6.0,6.0
216,794305,302304,28.0,41.0
216,180203,302507,3.0,3.0
144,592204,810006,3.0,3.0
26192,864207,770005,6.0,6.0
144,760402,592204,6.0,6.0
2552,234808,782308,8.0,8.0
5556,516802,618300,14.0,14.0
36612,583506,625200,11.0,11.0
